@relation tep.fea

@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute class {30,31,32}

@data
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
0,1,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,31
1,0,0,0,0,0,0,30
1,0,0,0,0,0,1,31
1,0,0,0,0,0,0,31
0,1,0,0,0,0,0,30
1,0,0,0,0,0,0,30
0,0,1,0,0,0,1,32
1,0,0,0,0,0,1,32
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,31
1,0,0,0,0,0,0,30
1,0,0,0,0,0,0,30
1,0,0,0,0,0,1,31
0,1,0,0,0,0,0,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,31
0,1,0,0,0,0,1,32
0,0,1,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,30
0,1,0,0,0,0,0,30
1,0,0,0,0,0,0,30
0,1,0,0,0,0,1,31
0,1,0,0,0,0,1,30
0,1,0,0,0,0,1,30
1,0,0,0,0,0,1,31
0,1,0,0,0,0,1,31
1,0,0,0,0,0,1,31
0,1,0,0,0,0,0,30
0,1,0,0,0,0,1,30
0,1,0,0,0,0,0,30
0,1,0,0,0,0,0,30
0,1,0,0,0,0,1,30
0,1,0,0,0,0,0,30
0,1,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
0,1,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
0,0,1,0,0,0,1,31
1,0,0,0,0,0,1,30
0,1,0,0,0,0,0,30
0,1,0,0,0,0,0,30
0,0,0,1,0,0,0,30
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
0,1,0,0,0,0,1,31
0,1,0,0,0,0,1,31
1,0,0,0,0,0,0,31
1,0,0,0,0,0,1,32
0,0,1,0,0,0,1,32
1,0,0,0,0,0,1,30
0,1,0,0,0,0,1,30
1,0,0,0,0,0,0,32
1,0,0,0,0,0,0,30
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,32
0,1,0,0,0,0,1,30
0,1,0,0,0,0,1,30
1,0,0,0,0,0,0,30
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,0,32
1,0,0,0,0,0,0,30
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
0,1,0,0,0,0,1,30
1,0,0,0,0,0,1,30
0,1,0,0,0,0,1,30
0,1,0,0,0,0,0,30
1,0,0,0,0,0,1,30
0,1,0,0,0,0,1,30
0,1,0,0,0,0,1,30
0,1,0,0,0,0,1,30
1,0,0,0,0,0,1,30
0,1,0,0,0,0,1,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,30
1,0,0,0,0,0,0,30
1,0,0,0,0,0,0,30
1,0,0,0,0,0,0,30
0,1,0,0,0,0,0,30
1,0,0,0,0,0,0,30
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,0,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,30
0,1,0,0,0,0,1,31
0,1,0,0,0,0,1,30
1,0,0,0,0,0,1,31
1,0,0,0,0,0,0,30
1,0,0,0,0,0,0,30
1,0,0,0,0,0,0,30
1,0,0,0,0,0,0,30
0,1,0,0,0,0,1,31
0,1,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,0,30
1,0,0,0,0,0,0,30
0,1,0,0,0,0,1,31
1,0,0,0,0,0,0,31
1,0,0,0,0,0,0,31
1,0,0,0,0,0,1,31
0,1,0,0,0,0,1,30
1,0,0,0,0,0,0,31
1,0,0,0,0,0,0,30
1,0,0,0,0,0,0,30
1,0,0,0,0,0,0,30
0,1,0,0,0,0,0,30
1,0,0,0,0,0,0,30
1,0,0,0,0,0,0,30
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,30
0,0,1,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,0,31
0,1,0,0,0,0,1,30
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,0,30
1,0,0,0,0,0,0,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,0,30
0,0,1,0,0,0,1,31
1,0,0,0,0,0,1,31
0,0,1,0,0,0,1,31
1,0,0,0,0,0,1,30
0,1,0,0,0,0,1,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,0,30
0,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,31
0,1,0,0,0,0,0,31
1,0,0,0,0,0,1,31
0,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
0,0,1,0,0,0,0,32
1,0,0,0,0,0,0,32
1,0,0,0,0,0,0,30
1,0,0,0,0,0,0,30
1,0,0,0,0,0,0,30
0,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,0,30
1,0,0,0,0,0,0,30
0,1,0,0,0,0,1,30
1,0,0,0,0,0,0,31
1,0,0,0,0,0,0,30
0,1,0,0,0,0,0,30
1,0,0,0,0,0,1,31
1,0,0,0,0,0,0,30
0,0,1,0,0,0,1,32
1,0,0,0,0,0,1,32
1,0,0,0,0,0,0,30
1,0,0,0,0,0,0,30
1,0,0,0,0,0,0,30
1,0,0,0,0,0,0,30
0,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
0,0,1,0,0,0,1,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,0,30
0,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,32
0,1,0,0,0,0,1,32
1,0,0,0,0,0,0,30
0,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
0,1,0,0,0,0,0,30
1,0,0,0,0,0,1,31
1,0,0,0,0,0,0,32
1,0,0,0,0,0,0,31
1,0,0,0,0,0,1,30
1,0,0,0,0,0,0,30
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,30
1,0,0,0,0,0,0,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,0,32
1,0,0,0,0,0,0,32
1,0,0,0,0,0,0,32
0,0,1,0,0,0,1,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,32
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,31
0,0,1,0,0,0,1,31
1,0,0,0,0,0,0,31
1,0,0,0,0,0,0,31
0,1,0,0,0,0,1,32
0,1,0,0,0,0,1,32
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
0,1,0,0,0,0,1,31
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,0,32
1,0,0,0,0,0,0,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
0,1,0,0,0,0,1,31
0,1,0,0,0,0,1,31
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
0,1,0,0,0,0,1,31
1,0,0,0,0,0,0,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
0,1,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
0,0,0,0,1,0,1,30
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,31
1,0,0,0,0,0,0,30
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
0,1,0,0,0,0,1,30
0,1,0,0,0,0,1,30
0,1,0,0,0,0,1,30
0,1,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,0,31
0,1,0,0,0,0,0,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,31
1,0,0,0,0,0,0,30
1,0,0,0,0,0,0,31
0,1,0,0,0,0,1,31
0,1,0,0,0,0,1,31
0,1,0,0,0,0,1,31
0,1,0,0,0,0,1,31
0,1,0,0,0,0,1,31
0,1,0,0,0,0,1,31
0,1,0,0,0,0,0,30
0,1,0,0,0,0,0,30
0,1,0,0,0,0,0,30
0,1,0,0,0,0,1,31
0,1,0,0,0,0,0,30
1,0,0,0,0,0,0,30
1,0,0,0,0,0,0,30
1,0,0,0,0,0,0,31
1,0,0,0,0,0,0,30
1,0,0,0,0,0,0,30
1,0,0,0,0,0,0,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,0,32
1,0,0,0,0,0,1,31
1,0,0,0,0,0,0,31
0,1,0,0,0,0,1,31
0,1,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
0,1,0,0,0,0,1,31
0,0,0,0,1,0,0,30
0,0,0,0,1,0,0,30
0,0,0,0,1,0,0,30
0,0,0,0,1,0,0,30
1,0,0,0,0,0,1,32
1,0,0,0,0,0,0,30
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
0,0,1,0,0,0,1,31
0,1,0,0,0,0,1,30
1,0,0,0,0,0,0,30
1,0,0,0,0,0,1,31
0,1,0,0,0,0,1,31
0,1,0,0,0,0,1,31
1,0,0,0,0,0,1,30
1,0,0,0,0,0,0,30
0,0,1,0,0,0,0,32
1,0,0,0,0,0,1,30
1,0,0,0,0,0,0,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,31
0,1,0,0,0,0,1,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,0,30
0,1,0,0,0,0,1,31
1,0,0,0,0,0,1,30
0,1,0,0,0,0,1,30
0,1,0,0,0,0,1,30
1,0,0,0,0,0,0,30
0,1,0,0,0,0,1,30
0,1,0,0,0,0,1,30
0,1,0,0,0,0,0,30
0,1,0,0,0,0,1,30
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,0,30
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
0,1,0,0,0,0,0,30
1,0,0,0,0,0,1,31
0,1,0,0,0,0,1,31
0,1,0,0,0,0,0,30
0,1,0,0,0,0,1,31
0,1,0,0,0,0,0,30
0,1,0,0,0,0,1,30
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,0,30
1,0,0,0,0,0,1,31
0,1,0,0,0,0,0,30
0,1,0,0,0,0,1,30
1,0,0,0,0,0,0,31
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,30
0,1,0,0,0,0,1,31
0,1,0,0,0,0,1,30
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
0,1,0,0,0,0,0,30
0,1,0,0,0,0,1,30
1,0,0,0,0,0,0,30
0,1,0,0,0,0,1,31
0,1,0,0,0,0,1,31
0,1,0,0,0,0,1,31
0,1,0,0,0,0,1,31
0,1,0,0,0,0,0,30
1,0,0,0,0,0,1,30
0,1,0,0,0,0,1,30
0,1,0,0,0,0,1,30
0,1,0,0,0,0,0,30
0,1,0,0,0,0,1,31
0,1,0,0,0,0,1,31
0,1,0,0,0,0,1,31
0,1,0,0,0,0,0,30
1,0,0,0,0,0,1,30
0,1,0,0,0,0,1,30
0,1,0,0,0,0,1,31
0,1,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,32
1,0,0,0,0,0,0,30
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
0,1,0,0,0,0,1,31
0,1,0,0,0,0,0,30
0,1,0,0,0,0,0,30
0,1,0,0,0,0,0,30
0,1,0,0,0,0,0,30
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
0,1,0,0,0,0,1,30
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
0,1,0,0,0,0,0,30
1,0,0,0,0,0,0,30
1,0,0,0,0,0,0,30
1,0,0,0,0,0,0,30
1,0,0,0,0,0,0,30
0,1,0,0,0,0,1,30
1,0,0,0,0,0,0,30
1,0,0,0,0,0,0,30
1,0,0,0,0,0,1,31
0,1,0,0,0,0,1,30
1,0,0,0,0,0,1,31
0,1,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,0,30
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
0,1,0,0,0,0,1,30
1,0,0,0,0,0,0,30
1,0,0,0,0,0,0,30
0,1,0,0,0,0,0,30
0,1,0,0,0,0,0,30
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,32
0,1,0,0,0,0,1,31
0,0,0,1,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,0,30
1,0,0,0,0,0,0,30
1,0,0,0,0,0,1,31
1,0,0,0,0,0,0,30
1,0,0,0,0,0,0,30
1,0,0,0,0,0,1,31
1,0,0,0,0,0,0,30
1,0,0,0,0,0,0,30
0,1,0,0,0,0,1,31
0,1,0,0,0,0,0,31
0,1,0,0,0,0,0,30
0,1,0,0,0,0,1,31
0,1,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
0,1,0,0,0,0,1,30
0,1,0,0,0,0,1,31
1,0,0,0,0,0,1,31
0,1,0,0,0,0,1,31
0,1,0,0,0,0,1,31
1,0,0,0,0,0,0,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,0,31
1,0,0,0,0,0,0,31
1,0,0,0,0,0,1,32
1,0,0,0,0,0,1,32
1,0,0,0,0,0,0,30
1,0,0,0,0,0,1,32
1,0,0,0,0,0,1,32
1,0,0,0,0,0,1,30
1,0,0,0,0,0,0,30
1,0,0,0,0,0,0,30
1,0,0,0,0,0,1,32
1,0,0,0,0,0,0,30
1,0,0,0,0,0,0,30
1,0,0,0,0,0,0,30
1,0,0,0,0,0,0,31
1,0,0,0,0,0,0,30
1,0,0,0,0,0,1,32
1,0,0,0,0,0,1,30
1,0,0,0,0,0,0,30
1,0,0,0,0,0,0,30
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,0,30
1,0,0,0,0,0,1,31
1,0,0,0,0,0,0,30
1,0,0,0,0,0,1,32
0,0,1,0,0,0,1,31
0,0,1,0,0,0,1,31
1,0,0,0,0,0,0,30
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
0,1,0,0,0,0,0,30
0,1,0,0,0,0,0,30
1,0,0,0,0,0,1,31
0,0,1,0,0,0,1,31
0,1,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
0,0,1,0,0,0,1,31
1,0,0,0,0,0,1,31
0,0,1,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,0,30
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,0,30
1,0,0,0,0,0,1,32
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,32
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,30
0,0,1,0,0,0,0,30
1,0,0,0,0,0,0,30
1,0,0,0,0,0,1,31
1,0,0,0,0,0,0,30
0,0,0,0,0,1,0,30
1,0,0,0,0,0,0,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,0,30
1,0,0,0,0,0,0,30
0,1,0,0,0,0,0,30
1,0,0,0,0,0,0,32
1,0,0,0,0,0,1,32
1,0,0,0,0,0,1,30
1,0,0,0,0,0,0,32
0,1,0,0,0,0,1,32
1,0,0,0,0,0,0,30
0,0,0,0,0,1,0,30
1,0,0,0,0,0,0,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,0,30
1,0,0,0,0,0,0,30
0,1,0,0,0,0,1,32
0,1,0,0,0,0,1,32
0,1,0,0,0,0,1,32
1,0,0,0,0,0,0,30
1,0,0,0,0,0,1,32
0,1,0,0,0,0,1,31
0,1,0,0,0,0,1,31
1,0,0,0,0,0,1,31
0,1,0,0,0,0,1,31
1,0,0,0,0,0,0,30
0,1,0,0,0,0,0,30
1,0,0,0,0,0,0,30
0,1,0,0,0,0,0,30
0,1,0,0,0,0,1,30
0,1,0,0,0,0,1,30
1,0,0,0,0,0,0,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,0,30
0,1,0,0,0,0,0,30
1,0,0,0,0,0,0,30
0,1,0,0,0,0,0,30
0,1,0,0,0,0,1,30
0,1,0,0,0,0,1,30
1,0,0,0,0,0,0,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,0,30
0,1,0,0,0,0,0,30
1,0,0,0,0,0,0,30
0,1,0,0,0,0,0,30
0,1,0,0,0,0,1,30
0,1,0,0,0,0,1,30
1,0,0,0,0,0,0,30
1,0,0,0,0,0,1,30
0,1,0,0,0,0,0,30
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
0,1,0,0,0,0,1,31
1,0,0,0,0,0,0,30
1,0,0,0,0,0,0,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,0,30
0,1,0,0,0,0,1,30
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
0,1,0,0,0,0,1,31
0,1,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
0,1,0,0,0,0,1,31
0,1,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,0,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,0,30
1,0,0,0,0,0,1,30
0,1,0,0,0,0,1,32
0,1,0,0,0,0,1,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,0,30
0,1,0,0,0,0,1,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,0,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,0,30
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,30
1,0,0,0,0,0,0,30
1,0,0,0,0,0,1,31
1,0,0,0,0,0,0,30
1,0,0,0,0,0,1,31
1,0,0,0,0,0,0,30
0,1,0,0,0,0,1,31
0,1,0,0,0,0,1,31
1,0,0,0,0,0,1,30
0,1,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,30
1,0,0,0,0,0,0,30
0,0,1,0,0,0,1,32
1,0,0,0,0,0,1,30
1,0,0,0,0,0,0,30
1,0,0,0,0,0,0,30
0,0,1,0,0,0,1,32
0,1,0,0,0,0,1,31
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,31
0,1,0,0,0,0,1,30
0,1,0,0,0,0,0,30
1,0,0,0,0,0,1,30
0,1,0,0,0,0,0,30
0,1,0,0,0,0,0,30
1,0,0,0,0,0,1,32
1,0,0,0,0,0,1,32
0,1,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
0,1,0,0,0,0,1,31
1,0,0,0,0,0,1,30
0,1,0,0,0,0,1,31
0,1,0,0,0,0,1,31
1,0,0,0,0,0,1,32
1,0,0,0,0,0,0,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,0,30
0,1,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
0,0,1,0,0,0,1,30
0,1,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,0,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,30
1,0,0,0,0,0,0,31
1,0,0,0,0,0,0,30
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
0,1,0,0,0,0,1,31
0,1,0,0,0,0,1,31
1,0,0,0,0,0,0,30
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
0,1,0,0,0,0,1,30
1,0,0,0,0,0,0,30
1,0,0,0,0,0,1,30
0,1,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,0,31
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,30
0,1,0,0,0,0,1,30
0,1,0,0,0,0,1,30
1,0,0,0,0,0,1,30
1,0,0,0,0,0,1,31
0,1,0,0,0,0,1,31
1,0,0,0,0,0,1,30
0,1,0,0,0,0,1,30
0,1,0,0,0,0,1,31
1,0,0,0,0,0,1,31
0,1,0,0,0,0,1,31
1,0,0,0,0,0,0,30
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
0,0,1,0,0,0,1,31
1,0,0,0,0,0,1,31
0,0,1,0,0,0,1,31
0,1,0,0,0,0,0,30
0,1,0,0,0,0,1,31
0,1,0,0,0,0,0,31
0,1,0,0,0,0,0,31
1,0,0,0,0,0,1,31
0,1,0,0,0,0,1,30
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
0,0,1,0,0,0,1,31
0,1,0,0,0,0,1,31
1,0,0,0,0,0,1,32
1,0,0,0,0,0,1,31
0,0,1,0,0,0,0,30
0,1,0,0,0,0,1,30
1,0,0,0,0,0,0,30
1,0,0,0,0,0,0,30
0,1,0,0,0,0,1,31
1,0,0,0,0,0,1,31
1,0,0,0,0,0,1,31
